/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:2.9 CYCLES:2783 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.5 CYCLES:2433 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:2.7 CYCLES:2601 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:2.5 CYCLES:2447 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.5 CYCLES:2419 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:2.6 CYCLES:2489 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.5 CYCLES:2419 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:2.8 CYCLES:2769 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:2.7 CYCLES:2629 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:2.7 CYCLES:2629 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:2.9 CYCLES:2783 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.5 CYCLES:2433 ICOUNT:974 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:4.2 CYCLES:38 ICOUNT:9 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:7.1 CYCLES:50 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:4.0 CYCLES:36 ICOUNT:9 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:7.0 CYCLES:49 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:4.2 CYCLES:38 ICOUNT:9 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:8.3 CYCLES:50 ICOUNT:6 IHITRATE: 0 DHITRATE: 0
